antecedents,consequents,support,confidence,lift,validation_confidence
PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.03343234532010365,0.8330708661417323,15.082014090343971,0.7923076923076923
GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.03343234532010365,0.6052631578947368,15.08201409034397,0.7410071942446043
ROSES REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.031473171964861275,0.5418933623503808,13.502958539322952,0.684931506849315
PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.031473171964861275,0.7842519685039369,13.502958539322952,0.7692307692307693
GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.04183783100549832,0.7574370709382151,13.04126961202979,0.7553956834532374
ROSES REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.04183783100549832,0.7203482045701849,13.041269612029788,0.7191780821917808
LUNCH BAG SUKI  DESIGN,LUNCH BAG  BLACK SKULL.,0.030651583138469315,0.44373284537968893,6.636280541061264,0.518324607329843
LUNCH BAG  BLACK SKULL.,LUNCH BAG SUKI  DESIGN,0.030651583138469315,0.45841209829867674,6.636280541061264,0.4604651162790698
LUNCH BAG PINK POLKADOT,LUNCH BAG RED RETROSPOT,0.03324274789862858,0.5601703940362087,6.599833317077387,0.5298013245033113
LUNCH BAG RED RETROSPOT,LUNCH BAG PINK POLKADOT,0.03324274789862858,0.3916604616530156,6.599833317077386,0.36036036036036034
